     02 38 14.2 0.1  36 05.1 0.2  141 07.1 0.7   40 1  2.4V        (3,111) E OFF IBARAKI PREF      
     02 39 06.9 0.1  35 46.9 0.3  140 54.5 0.5   36 1  2.5V        (3,110) NEAR CHOSHI CITY        
     02 39 45.5 0.1  39 25.7 0.3  142 39.9 0.7   32 1  2.8V        (2, 62) E OFF IWATE PREF        
     02 41 03.1 0.0  37 41.9 0.1  139 56.6 0.1    8 1  1.5V        (2, 54) WESTERN FUKUSHIMA PREF  
     02 41 12.0 0.0  35 17.6 0.2  133 20.2 0.2   11 1  0.2V        (6,222) WESTERN TOTTORI PREF    
     02 41 35.7 0.0  36 40.5 0.0  140 38.3 0.1    3 0  1.0V        (3, 86) NORTHERN IBARAKI PREF   
     02 44 51.8 0.0  37 27.1 0.1  141 16.6 0.4   25 1  2.2V        (2, 69) E OFF FUKUSHIMA PREF    
     02 46 39.7 0.0  37 10.7 0.1  140 42.2 0.1    7 1  0.8V        (2, 56) EASTERN FUKUSHIMA PREF  
     02 48 23.2 0.0  37 41.7 0.1  139 56.7 0.1    7 1  1.0V        (2, 54) WESTERN FUKUSHIMA PREF  
     02 48 39.4 0.2  35 47.8 0.5  140 56.0 1.0   36 1  2.5V        (3,110) NEAR CHOSHI CITY        
     02 49 46.7 0.0  36 50.5 0.0  140 35.9 0.1    7 0  1.0V        (3, 86) NORTHERN IBARAKI PREF   
     02 50 45.1 0.0  35 29.6 0.1  135 56.2 0.1   13 1  0.6V        (5,181) WESTERN FUKUI PREF      
     02 52 02.9 0.0  37 43.7 0.1  139 55.6 0.2    7 1  1.1V        (2, 54) WESTERN FUKUSHIMA PREF  
     02 54 07.3 0.0  36 43.9 0.1  140 35.5 0.2    6 1  1.7V        (3, 86) NORTHERN IBARAKI PREF   
     02 56 07.7 0.0  37 01.7 0.0  140 37.0 0.1    8 1  0.9V        (2, 56) EASTERN FUKUSHIMA PREF  
     02 56 32.1 0.0  35 59.3 0.1  137 33.4 0.2    9 1 -0.1V        (4,148) WESTERN NAGANO PREF     
     02 57 05.3 0.0  36 07.3 0.1  137 32.9 0.1    3 1  0.7V        (4,148) WESTERN NAGANO PREF     
     02 57 37.5 0.2  39 23.6 0.5  143 03.2 0.7   17 2  2.5V        (2, 63) FAR E OFF SANRIKU       
     02 58 47.6 0.1  38 43.7 0.2  142 00.1 0.6   34 1  2.7V        (2, 66) KINKAZAN REGION         
     03 01 10.0 0.3  27 24.5 1.8  126 41.1 2.1  147    2.9V        (7,287) NW OFF OKINAWAJIMA IS   
     03 02 07.2 0.3  35 54.4 0.6  141 05.6 1.3   20 3  1.6V        (3,111) E OFF IBARAKI PREF      
     03 02 23.7 0.0  32 34.0 0.1  130 42.7 0.2    8 1  1.2V        (7,271) SOUTHERN KUMAMOTO PREF  
     03 02 46.8 0.3  37 16.0 0.9  142 29.0 1.6    5 5  3.1V        (2, 69) E OFF FUKUSHIMA PREF    
     03 03 52.2 0.2  39 53.1 0.4  142 10.5 1.1   46 2  1.6V        (2, 62) E OFF IWATE PREF        
     03 04 03.9 0.0  32 34.1 0.2  130 42.4 0.2    9 1  0.6V        (7,271) SOUTHERN KUMAMOTO PREF  
     03 04 52.5 0.1  38 03.2 0.5  141 52.9 1.0   45 1  2.0V        (2, 68) SE OFF MIYAGI PREF      
     03 04 59.8 0.3  42 28.6 0.7  142 34.3 1.1   43 3  0.4V        (1, 12) HIDAKA REGION           
     03 05 06.2 0.0  34 50.4 0.1  136 10.8 0.1    9 1  0.2V        (5,198) NORTHERN MIE PREF       
     03 05 29.4 0.0  37 47.8 0.1  139 59.2 0.2    9 1  0.9V        (2, 53) SOUTHERN YAMAGATA PREF  
     03 06 06.6 0.0  37 09.4 0.0  139 15.6 0.0    8 1  1.4V        (2, 54) WESTERN FUKUSHIMA PREF  
     03 06 46.1 0.0  35 28.2 0.2  138 19.2 0.3    7 1  0.0V        (4,150) AKAISHI MOUNTAINS REG   
     03 07 07.8 0.1  38 50.6 0.3  142 03.5 0.7   46 1  3.7V      1 (2, 66) KINKAZAN REGION         
     03 07 36.0 0.0  36 55.7 0.0  140 38.1 0.1    9 0  1.5V        (2, 56) EASTERN FUKUSHIMA PREF  
