Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME
,04,28,35.8,0.0,35,48.0,0.1,137,00.8,0.1,14,1,0.3V,,,"(4,140)",SE GIFU PREF
,04,28,41.6,0.0,32,36.5,0.1,130,48.6,0.2,9,1,0.8V,,,"(7,271)",SOUTHERN KUMAMOTO PREF
,04,29,02.3,0.1,36,11.4,0.3,141,02.1,0.9,43,2,2.0V,,,"(3,111)",E OFF IBARAKI PREF
,04,30,11.8,0.0,32,19.4,0.1,130,30.1,0.1,7,1,0.2V,,,"(7,271)",SOUTHERN KUMAMOTO PREF
,04,32,45.4,0.0,32,19.4,0.1,130,30.1,0.1,7,1,0.2V,,,"(7,271)",SOUTHERN KUMAMOTO PREF
,04,35,20.7,0.0,37,40.4,0.1,139,56.0,0.1,9,1,1.2V,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,04,38,23.0,0.1,35,59.2,0.3,140,14.8,0.5,37,1,1.0V,,,"(3, 87)",SOUTHERN IBARAKI PREF
,04,39,58.2,0.4,34,54.7,0.8,139,53.9,1.5,37,4,1.1V,,,"(3, 95)",SOUTHERN BOSO PENINSULA
,04,46,58.0,0.0,36,39.9,0.1,140,38.9,0.2,4,1,1.7V,,,"(3, 86)",NORTHERN IBARAKI PREF
,04,47,48.3,0.0,37,01.7,0.2,138,33.9,0.2,15,1,1.7V,,,"(4,132)",MID NIIGATA PREF
,04,49,25.3,0.2,28,33.2,1.2,128,24.6,1.2,06,,1.8V,,,"(7,285)",NEAR TOKARA ISLANDS
,04,50,41.1,0.1,42,34.1,0.5,142,26.9,0.8,55,1,0.2V,,,"(1, 12)",HIDAKA REGION
,04,50,58.3,0.0,37,07.8,0.1,140,49.9,0.2,8,0,1.5V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,04,52,12.6,0.0,37,48.7,0.1,139,59.5,0.2,11,1,0.7V,,,"(2, 53)",SOUTHERN YAMAGATA PREF
,04,53,45.3,0.0,37,45.9,0.1,140,01.1,0.1,8,1,0.6V,,,"(2, 53)",SOUTHERN YAMAGATA PREF
